x_0,x_1,y_0,y_1,y_2
0.54807734,0.6878972,-0.4013493,0.49706542,1.4847801
-0.09851831,-1.8326662,-0.5389035,0.86095166,0.8927464
-1.1464682,-1.2335972,-0.1659842,0.39147216,-1.5460529
0.9475522,-2.891801,1.1995926,1.0371624,1.1448268
-0.32700866,2.375668,0.7471731,1.5008991,-1.1284492
0.526898,-1.2040277,-0.17977357,0.3489977,-1.1291373
-1.4770439,0.44204706,-0.89232844,-0.027464537,1.0606804
0.8750107,0.092569865,0.36658564,0.53087854,1.3200092
0.4184705,-0.27765188,-1.439358,0.91862446,-0.0045816395
0.95795417,1.4714684,0.6539849,0.7075714,-0.19707344
-1.0577381,1.5024428,0.6612584,-0.28072408,2.3326778
-0.10594543,-0.72045285,2.480526,-0.13849422,0.68116283
-0.82365894,0.060048737,1.0388725,-0.26302782,0.86908823
0.61361474,0.5385279,0.56509167,2.3356676,0.7077368
-1.044824,-0.33436838,0.42779225,-0.45670137,-0.67859745
0.30320388,-0.54103833,0.06770361,-1.9529514,2.117327
-0.8977516,-0.36853254,-1.0508447,-1.1658218,-0.7428855
-0.05529768,0.25781968,-1.2590606,-0.7410078,0.001210589
-0.06474953,0.33826733,0.64170873,2.2217925,-0.3143961
-0.061291136,-1.2739828,1.1228111,0.7863661,-0.2996845
0.36429384,0.8779667,0.68311566,0.54852223,-0.5373038
1.0603937,0.33661708,-1.6442057,0.87694293,0.36083326
0.70445484,1.5896878,0.25586936,0.39266345,1.7617824
1.3425541,-0.49286324,-1.4053717,-0.24212308,1.4590253
0.83392054,0.5732845,-0.18989843,-0.20320253,0.8164852
-1.5860009,-0.43688613,-0.038991082,-1.5471393,1.0403235
0.21590999,-0.2223614,0.553173,-0.26547462,1.4980059
0.5249208,1.1768165,-0.18196262,0.43297473,2.0437214
-0.018857373,0.84568405,-0.781962,-0.5680236,1.3096042
-1.2462658,0.70508176,-1.0223079,0.3798269,1.8880913
-0.9334961,1.6447129,-2.36071,-0.48383692,-0.22470522
-0.18130898,-0.20952876,-1.6638954,0.074721955,-1.8102611
-0.13958392,-0.38867852,1.3125763,-0.6083328,-0.14177014
-0.3478875,0.60245496,-0.14385998,-0.30817246,-0.6246134
0.8296198,0.035280753,-1.2257483,-1.007185,-0.48149702
-0.75541925,-1.230349,-0.24121058,-0.76072025,-1.002304
-0.8645814,0.47742212,0.8116105,0.59702796,0.09993989
-0.27160355,0.40818948,-0.086244546,0.48215088,-0.51797783
1.5076659,0.024043577,1.1660478,-0.8413135,-0.7762483
1.5016426,0.73840684,0.18404806,0.9281957,0.742272
0.652203,-0.9563205,0.018797528,-0.44209072,0.06946818
-0.6894876,0.7125599,0.8628668,1.3758051,-0.08813597
1.3467509,1.0029564,0.48511612,-0.76043254,-0.34874055
-0.21457963,1.035879,0.47445905,-1.1495388,-1.5076667
0.80695146,1.1484761,0.51499385,-1.0092168,0.68779284
-0.6813609,0.7602282,-0.041104157,-0.058585804,-0.02707008
0.9108973,-0.7324216,0.6177196,0.8309115,1.0666481
0.3699396,-0.45408142,0.16475014,-0.82317084,-0.4247476
-0.47342348,-1.0575333,0.46669048,0.8002658,-1.9118108
0.6515624,-0.67555267,1.1919188,-0.5697895,0.8548649
0.9910296,1.26899,2.2945178,0.13697994,-0.9201031
0.8323578,1.6167079,1.2611814,-0.808977,0.14445801
1.281041,0.316205,-0.21868938,0.097733945,-1.1075556
0.58457404,-0.59786516,0.5153422,0.559363,0.8962729
-1.475365,0.28889763,0.048080895,-1.1506356,0.4175647
-0.5579361,-0.7430517,-1.4061798,0.3215613,-1.4216121
0.38143185,2.2602868,1.6348779,0.7308816,-1.0566633
-0.91517013,2.336427,-0.9341863,-0.39752433,0.9470602
-0.42897937,-1.2943966,0.22118856,0.9753224,0.7714268
1.1644766,-1.5182059,-1.3478447,-0.94329953,-0.26614022
0.7596732,0.39702165,-0.4960121,-0.77087367,-0.6510579
0.5578181,0.9665641,-1.1146277,-0.7437148,-0.87867016
0.45410964,1.1498384,0.5969316,0.09793124,1.3425039
0.35837358,-1.0973668,0.8181682,-0.60014516,-0.44674745
-0.34670177,0.57118154,-0.55618614,0.5837231,-0.42357948
-0.9008077,0.22204399,-0.78199697,1.1042887,-0.33341855
0.03425902,0.2925104,-1.0799172,-0.94802153,-0.4087852
-0.14287476,-0.4675467,1.3536311,-0.49793324,1.5635889
1.0397743,1.1387445,0.65288115,1.5752131,1.3978932
-1.4251887,0.47176763,-1.5471839,0.637287,0.08564631
-0.7648458,-0.72938883,0.31516093,-0.57045704,-0.9734149
0.9088427,-0.55667645,-0.20591791,1.1503997,-0.36167303
1.3502198,-0.1232764,-1.3759638,0.30572248,-0.21579954
1.4147274,1.3827479,-0.07682074,-0.20770545,0.95102
-0.29047504,1.6024542,-0.41329587,0.39860705,-0.69259757
-0.7042801,0.09642506,-0.49402827,0.39463073,2.2871437
1.476798,0.49080154,-0.5216209,0.5734549,0.37359074
1.8296098,-0.44900715,0.78248894,-1.5908008,-1.5645828
1.4661525,0.7087436,1.1964955,0.3995329,-0.23996559
0.16227564,2.360988,2.2988765,0.4223727,-1.0424999
-0.839409,0.43162706,-1.1829505,-1.0939331,1.5439255
0.9846553,0.5217329,0.25460154,1.4644192,-0.9598071
-0.009887505,0.36467624,1.7482293,-0.6821151,-0.9882658
0.32308015,0.054195087,-0.42356768,1.1309159,-0.39864975
0.8005698,2.4638135,-1.8085908,1.6381687,2.3276286
